the_geom,OBJECTID,Name,Access Restrictions,Address
POINT (-89.972978656278 30.032814003966),26,New Orleans East Regional Library,General  Population Pickup Locations,5641 Read Blvd
POINT (-90.111856149206 29.942210346117),22,McMain High School,General  Population Pickup Locations,5712 S. Claiborne Ave
POINT (-90.090603926405 29.968280552319),20,Warren Easton High School,General  Population Pickup Locations,3019 Canal St
POINT (-90.032359835094 29.964561623779),18,Stallings Community Center,General  Population Pickup Locations,4300 St. Claude
POINT (-90.078255918499 29.946653332995),30,UPT / Amtrak,Staging Locations,1001 Loyola Ave.
POINT (-90.026962125739 29.942975492145),17,Harriet Tubman Charter School,General  Population Pickup Locations,2832 General Meyer
POINT (-90.129526169654 29.94840127534),16,Mater Dolorosa,Senior Center Pickup Locations,1226 S. Carrollton Ave
POINT (-90.108308164809 30.004974658962),28,Smith Library Bus Stop,General  Population Pickup Locations,6300 Canal Blvd.
POINT (-90.084434299899 29.936093163724),25,Dryades YMCA,General  Population Pickup Locations,1924 Phillip St
POINT (-89.918997690388 30.040642373034),24,Mary Queen of Vietnam,General  Population Pickup Locations,14001 Dwyer
POINT (-90.071805664638 29.932051212663),14,Kingsley House,Senior Center Pickup Locations,1600 Constance St
POINT (-90.084931702967 29.936789936689),15,Central City Senior Center,Senior Center Pickup Locations,2101 Philip St.
POINT (-90.087165834942 29.918738621977),21,Lyons Community Center,General  Population Pickup Locations,624 Louisiana Ave
POINT (-90.039881873066 30.004276834491),29,Walmart,General  Population Pickup Locations,4301 Chef Menteur Hwy
POINT (-90.06925941442 29.961647213761),19,Louis Armstrong Park Bus Stop,General  Population Pickup Locations,801 N. Rampart
POINT (-90.04488594234 29.945108762577),13,Arthur Monday Center,Senior Center Pickup Locations,1111 Newton Ave
POINT (-90.12122927116 29.955840609538),23,Palmer Park,General  Population Pickup Locations,S. Claiborne & S. Carrollton
POINT (-90.014173633297 29.966242319584),27,Sanchez Center,Senior Center Pickup Locations,1616 Caffin Ave
