ZIP Code,Borough,Total
10177,Manhattan,18
11369,Queens,44
10464,Bronx,110
10026,Manhattan,250
10027,Manhattan,510
11235,Brooklyn,365
11109,Queens,79
10036,Manhattan,1880
11411,Queens,15
10034,Manhattan,218
10274,Manhattan,1
11361,Queens,137
11418,Queens,117
10474,Bronx,92
10311,Staten Island,1
11360,Queens,101
11222,Brooklyn,772
11412,Queens,72
10107,Manhattan,24
11040,Queens,4
10276,Manhattan,4
11215,Brooklyn,964
11429,Queens,29
10022,Manhattan,1700
10038,Manhattan,1677
10473,Bronx,72
10008,Manhattan,1
10101,Manhattan,3
11433,Queens,32
11256,Brooklyn,3
10306,Staten Island,365
10065,Manhattan,680
10043,Manhattan,1
11203,Brooklyn,88
11377,Queens,268
11101,Queens,731
11367,Queens,96
11372,Queens,273
10166,Manhattan,25
11423,Queens,54
10168,Manhattan,38
10282,Manhattan,137
10039,Manhattan,64
11001,Queens,8
11234,Brooklyn,197
10103,Manhattan,18
11208,Brooklyn,67
11692,Queens,17
11430,Queens,1
11439,Queens,4
10456,Bronx,57
10016,Manhattan,1856
11232,Brooklyn,250
10123,Manhattan,25
10457,Bronx,43
11413,Queens,53
10185,Manhattan,6
11221,Brooklyn,416
11435,Queens,85
10005,Manhattan,538
10151,Manhattan,22
10302,Staten Island,25
10453,Bronx,33
10122,Manhattan,26
10128,Manhattan,869
11206,Brooklyn,582
10115,Manhattan,10
10174,Manhattan,10
10121,Manhattan,23
11374,Queens,206
11205,Brooklyn,439
10010,Manhattan,1346
10461,Bronx,123
11210,Brooklyn,131
10272,Manhattan,2
10175,Manhattan,14
10003,Manhattan,1651
10035,Manhattan,175
11249,Brooklyn,432
11365,Queens,118
10018,Manhattan,2131
11357,Queens,120
11236,Brooklyn,101
10075,Manhattan,531
10469,Bronx,84
10458,Bronx,75
11241,Brooklyn,9
10037,Manhattan,59
11223,Brooklyn,298
10462,Bronx,180
10023,Manhattan,1239
11451,Queens,2
11385,Queens,939
11421,Queens,102
10011,Manhattan,1866
10013,Manhattan,1505
11218,Brooklyn,492
10028,Manhattan,627
11005,Queens,6
11414,Queens,58
11230,Brooklyn,360
10271,Manhattan,84
11366,Queens,46
10159,Manhattan,4
10279,Manhattan,40
10120,Manhattan,2
11102,Queens,200
Unknown,,2
10452,Bronx,33
11237,Brooklyn,362
10472,Bronx,49
10173,Manhattan,9
10019,Manhattan,1766
11693,Queens,38
10172,Manhattan,2
10116,Manhattan,22
11422,Queens,21
11427,Queens,55
11379,Queens,123
10285,Manhattan,5
10460,Bronx,68
10470,Bronx,36
10009,Manhattan,900
10032,Manhattan,278
10110,Manhattan,3
10113,Manhattan,10
11697,Queens,10
11228,Brooklyn,86
11214,Brooklyn,202
11424,Queens,8
10303,Staten Island,32
11415,Queens,187
10471,Bronx,106
11420,Queens,73
11204,Brooklyn,150
11217,Brooklyn,544
10104,Manhattan,13
10170,Manhattan,105
11104,Queens,229
10165,Manhattan,40
11239,Brooklyn,27
10314,Staten Island,197
10112,Manhattan,57
10176,Manhattan,20
11211,Brooklyn,922
11426,Queens,49
11105,Queens,300
10475,Bronx,73
10002,Manhattan,919
10153,Manhattan,42
10014,Manhattan,1192
10465,Bronx,66
11691,Queens,48
10118,Manhattan,94
11368,Queens,97
10451,Bronx,119
11238,Brooklyn,623
11004,Queens,29
10454,Bronx,79
11229,Brooklyn,323
10301,Staten Island,130
10106,Manhattan,227
10312,Staten Island,166
10308,Staten Island,75
11354,Queens,1331
10156,Manhattan,1
10163,Manhattan,4
10012,Manhattan,1220
11428,Queens,20
10029,Manhattan,405
10178,Manhattan,5
10069,Manhattan,104
11373,Queens,481
10158,Manhattan,17
11378,Queens,157
11358,Queens,136
10006,Manhattan,326
10007,Manhattan,1564
10154,Manhattan,26
10150,Manhattan,6
11106,Queens,361
10031,Manhattan,355
11201,Brooklyn,1441
10021,Manhattan,699
10179,Manhattan,2
10119,Manhattan,48
10030,Manhattan,139
10044,Manhattan,71
11231,Brooklyn,484
10152,Manhattan,35
11432,Queens,173
11207,Brooklyn,135
11212,Brooklyn,42
10162,Manhattan,15
10025,Manhattan,1117
11362,Queens,55
10466,Bronx,47
10108,Manhattan,7
10280,Manhattan,134
11242,Brooklyn,34
10155,Manhattan,14
11436,Queens,14
10305,Staten Island,116
10040,Manhattan,253
10105,Manhattan,29
10111,Manhattan,96
10169,Manhattan,17
11434,Queens,63
11225,Brooklyn,420
10309,Staten Island,89
11364,Queens,76
10167,Manhattan,20
10041,Manhattan,60
10459,Bronx,38
10033,Manhattan,269
11419,Queens,39
10455,Bronx,64
11356,Queens,53
10281,Manhattan,23
11209,Brooklyn,431
10310,Staten Island,100
11220,Brooklyn,173
11417,Queens,75
11213,Brooklyn,191
10020,Manhattan,112
10017,Manhattan,1240
11416,Queens,46
11370,Queens,67
11363,Queens,32
11233,Brooklyn,198
10307,Staten Island,61
11219,Brooklyn,469
11103,Queens,297
11216,Brooklyn,387
10468,Bronx,71
11224,Brooklyn,125
10024,Manhattan,784
10463,Bronx,258
11243,Brooklyn,18
10001,Manhattan,2282
11226,Brooklyn,282
10467,Bronx,123
10004,Manhattan,759
10304,Staten Island,100
11375,Queens,355
11355,Queens,100
11694,Queens,64
10171,Manhattan,18
